product_id,name,description,active,shippable,unit_label,currency,unit_amount,price_nickname,lookup_key,tax_behavior,base_product,category,color,size,event_name
event_tshirt_white_s,Event T-Shirt - White / Small,"Event T-Shirt in White, size Small",true,true,shirt,usd,2500,White / Small,event_tshirt_white_s,unspecified,event_tshirt,apparel,White,Small,
event_tshirt_white_m,Event T-Shirt - White / Medium,"Event T-Shirt in White, size Medium",true,true,shirt,usd,2500,White / Medium,event_tshirt_white_m,unspecified,event_tshirt,apparel,White,Medium,
event_tshirt_white_l,Event T-Shirt - White / Large,"Event T-Shirt in White, size Large",true,true,shirt,usd,2500,White / Large,event_tshirt_white_l,unspecified,event_tshirt,apparel,White,Large,
event_tshirt_white_xl,Event T-Shirt - White / XL,"Event T-Shirt in White, size XL",true,true,shirt,usd,2500,White / XL,event_tshirt_white_xl,unspecified,event_tshirt,apparel,White,XL,
event_tshirt_white_xxl,Event T-Shirt - White / XXL,"Event T-Shirt in White, size XXL",true,true,shirt,usd,3000,White / XXL,event_tshirt_white_xxl,unspecified,event_tshirt,apparel,White,XXL,
event_tshirt_white_xxxl,Event T-Shirt - White / XXXL,"Event T-Shirt in White, size XXXL",true,true,shirt,usd,3000,White / XXXL,event_tshirt_white_xxxl,unspecified,event_tshirt,apparel,White,XXXL,
event_tshirt_spearmint_s,Event T-Shirt - Spearmint / Small,"Event T-Shirt in Spearmint, size Small",true,true,shirt,usd,2500,Spearmint / Small,event_tshirt_spearmint_s,unspecified,event_tshirt,apparel,Spearmint,Small,
event_tshirt_spearmint_m,Event T-Shirt - Spearmint / Medium,"Event T-Shirt in Spearmint, size Medium",true,true,shirt,usd,2500,Spearmint / Medium,event_tshirt_spearmint_m,unspecified,event_tshirt,apparel,Spearmint,Medium,
event_tshirt_spearmint_l,Event T-Shirt - Spearmint / Large,"Event T-Shirt in Spearmint, size Large",true,true,shirt,usd,2500,Spearmint / Large,event_tshirt_spearmint_l,unspecified,event_tshirt,apparel,Spearmint,Large,
event_tshirt_spearmint_xl,Event T-Shirt - Spearmint / XL,"Event T-Shirt in Spearmint, size XL",true,true,shirt,usd,2500,Spearmint / XL,event_tshirt_spearmint_xl,unspecified,event_tshirt,apparel,Spearmint,XL,
event_tshirt_spearmint_xxl,Event T-Shirt - Spearmint / XXL,"Event T-Shirt in Spearmint, size XXL",true,true,shirt,usd,3000,Spearmint / XXL,event_tshirt_spearmint_xxl,unspecified,event_tshirt,apparel,Spearmint,XXL,
event_tshirt_spearmint_xxxl,Event T-Shirt - Spearmint / XXXL,"Event T-Shirt in Spearmint, size XXXL",true,true,shirt,usd,3000,Spearmint / XXXL,event_tshirt_spearmint_xxxl,unspecified,event_tshirt,apparel,Spearmint,XXXL,
event_tshirt_sky_blue_s,Event T-Shirt - Sky Blue / Small,"Event T-Shirt in Sky Blue, size Small",true,true,shirt,usd,2500,Sky Blue / Small,event_tshirt_sky_blue_s,unspecified,event_tshirt,apparel,Sky Blue,Small,
event_tshirt_sky_blue_m,Event T-Shirt - Sky Blue / Medium,"Event T-Shirt in Sky Blue, size Medium",true,true,shirt,usd,2500,Sky Blue / Medium,event_tshirt_sky_blue_m,unspecified,event_tshirt,apparel,Sky Blue,Medium,
event_tshirt_sky_blue_l,Event T-Shirt - Sky Blue / Large,"Event T-Shirt in Sky Blue, size Large",true,true,shirt,usd,2500,Sky Blue / Large,event_tshirt_sky_blue_l,unspecified,event_tshirt,apparel,Sky Blue,Large,
event_tshirt_sky_blue_xl,Event T-Shirt - Sky Blue / XL,"Event T-Shirt in Sky Blue, size XL",true,true,shirt,usd,2500,Sky Blue / XL,event_tshirt_sky_blue_xl,unspecified,event_tshirt,apparel,Sky Blue,XL,
event_tshirt_sky_blue_xxl,Event T-Shirt - Sky Blue / XXL,"Event T-Shirt in Sky Blue, size XXL",true,true,shirt,usd,3000,Sky Blue / XXL,event_tshirt_sky_blue_xxl,unspecified,event_tshirt,apparel,Sky Blue,XXL,
event_tshirt_sky_blue_xxxl,Event T-Shirt - Sky Blue / XXXL,"Event T-Shirt in Sky Blue, size XXXL",true,true,shirt,usd,3000,Sky Blue / XXXL,event_tshirt_sky_blue_xxxl,unspecified,event_tshirt,apparel,Sky Blue,XXXL,
event_tshirt_vintage_gold_s,Event T-Shirt - Vintage Gold / Small,"Event T-Shirt in Vintage Gold, size Small",true,true,shirt,usd,2500,Vintage Gold / Small,event_tshirt_vintage_gold_s,unspecified,event_tshirt,apparel,Vintage Gold,Small,
